140.82,-38.098
140.84,-38.136
140.78,-38.117
140.69,-38.117
140.5,-38.079
140.42,-38.079
140.35,-38.041
140.33,-38.003
140.31,-37.984
140.31,-37.946
140.27,-37.889
140.27,-37.832
140.25,-37.794
140.25,-37.775
140.21,-37.756
140.21,-37.736
140.19,-37.775
140.21,-37.851
140.23,-37.889
140.23,-37.908
140.27,-37.984
140.27,-38.003
140.29,-38.022
140.25,-38.022
140.23,-37.984
140.23,-37.946
140.21,-37.927
140.19,-37.851
140.17,-37.813
140.17,-37.794
140.06,-37.68
140,-37.584
139.98,-37.584
139.98,-37.565
139.97,-37.565
139.93,-37.546
139.89,-37.508
139.81,-37.451
139.74,-37.413
139.62,-37.261
139.64,-37.223
139.66,-37.223
139.68,-37.185
139.66,-37.166
139.66,-37.128
139.64,-37.09
139.64,-37.071
139.62,-37.052
139.6,-37.014
139.62,-36.995
139.64,-36.957
139.68,-36.938
139.7,-36.9
139.72,-36.881
139.74,-36.824
139.74,-36.805
139.76,-36.786
139.74,-36.748
139.74,-36.71
139.72,-36.672
139.72,-36.615
139.7,-36.577
139.7,-36.52
139.62,-36.368
139.55,-36.292
139.51,-36.178
139.39,-36.026
139.3,-35.95
139.17,-35.816
139.09,-35.759
139.05,-35.74
139.01,-35.702
138.98,-35.702
138.98,-35.683
138.96,-35.626
138.92,-35.626
138.92,-35.607
138.96,-35.607
138.98,-35.626
138.98,-35.569
138.96,-35.569
138.98,-35.55
139,-35.55
139.03,-35.531
139.05,-35.531
139.07,-35.512
139.07,-35.493
139.05,-35.493
139.05,-35.474
139.15,-35.474
138.88,-35.512
138.86,-35.531
138.84,-35.531
138.82,-35.55
138.75,-35.55
138.71,-35.569
138.71,-35.55
138.63,-35.55
138.62,-35.569
138.5,-35.607
138.46,-35.645
138.41,-35.645
138.31,-35.664
138.16,-35.664
138.1,-35.645
138.08,-35.645
138.08,-35.588
138.1,-35.55
138.27,-35.455
138.31,-35.398
138.41,-35.341
138.46,-35.246
138.46,-35.227
138.48,-35.189
138.48,-35.17
138.5,-35.113
138.5,-35.075
138.48,-35.018
138.48,-34.961
138.46,-34.904
138.46,-34.847
138.44,-34.809
138.41,-34.79
138.43,-34.809
138.44,-34.809
138.44,-34.79
138.39,-34.676
138.29,-34.581
138.25,-34.505
138.22,-34.448
138.18,-34.41
138.14,-34.296
138.08,-34.258
138.04,-34.219
138.04,-34.181
138.03,-34.181
137.97,-34.258
137.93,-34.334
137.93,-34.352
137.91,-34.41
137.87,-34.448
137.85,-34.524
137.85,-34.6
137.82,-34.676
137.82,-34.714
137.8,-34.79
137.74,-34.885
137.7,-35.018
137.68,-35.056
137.68,-35.113
137.65,-35.189
137.57,-35.189
137.44,-35.151
137.3,-35.151
137.27,-35.189
137.23,-35.189
137.19,-35.208
137.15,-35.208
137.06,-35.246
136.94,-35.246
136.92,-35.284
136.9,-35.284
136.85,-35.208
136.85,-35.132
136.9,-34.98
136.9,-34.923
136.92,-34.923
136.94,-34.904
136.96,-34.904
136.98,-34.923
137.06,-34.923
137.11,-34.942
137.15,-34.942
137.19,-34.961
137.27,-34.942
137.32,-34.942
137.38,-34.866
137.42,-34.79
137.46,-34.676
137.47,-34.657
137.46,-34.619
137.46,-34.467
137.44,-34.429
137.44,-34.467
137.46,-34.467
137.46,-34.448
